Year,Provinces,Emissions,Sectors
2013,Nova Scotia,2.0,Other engineering construction
2014,Nova Scotia,1.0,Other engineering construction
2015,Nova Scotia,2.0,Other engineering construction
2016,Nova Scotia,4.0,Other engineering construction
2017,Nova Scotia,3.0,Other engineering construction
2018,Nova Scotia,2.0,Other engineering construction
2019,Nova Scotia,2.0,Other engineering construction
2020,Nova Scotia,2.0,Other engineering construction
2021,Nova Scotia,4.0,Other engineering construction
2022,Nova Scotia,4.0,Other engineering construction
2023,Nova Scotia,4.0,Other engineering construction
2013,Nova Scotia,11.0,Repair construction
2014,Nova Scotia,11.0,Repair construction
2015,Nova Scotia,16.0,Repair construction
2016,Nova Scotia,21.0,Repair construction
2017,Nova Scotia,20.0,Repair construction
2018,Nova Scotia,25.0,Repair construction
2019,Nova Scotia,20.0,Repair construction
2020,Nova Scotia,18.0,Repair construction
2021,Nova Scotia,20.0,Repair construction
2022,Nova Scotia,17.0,Repair construction
2023,Nova Scotia,16.0,Repair construction
2013,Nova Scotia,14.0,Other activities of the construction industry
2014,Nova Scotia,14.0,Other activities of the construction industry
2015,Nova Scotia,17.0,Other activities of the construction industry
2016,Nova Scotia,19.0,Other activities of the construction industry
2017,Nova Scotia,16.0,Other activities of the construction industry
2018,Nova Scotia,19.0,Other activities of the construction industry
2019,Nova Scotia,18.0,Other activities of the construction industry
2020,Nova Scotia,15.0,Other activities of the construction industry
2021,Nova Scotia,15.0,Other activities of the construction industry
2022,Nova Scotia,14.0,Other activities of the construction industry
2023,Nova Scotia,13.0,Other activities of the construction industry
2013,Nova Scotia,8.0,Animal food manufacturing
2014,Nova Scotia,8.0,Animal food manufacturing
2015,Nova Scotia,5.0,Animal food manufacturing
2016,Nova Scotia,3.0,Animal food manufacturing
2017,Nova Scotia,5.0,Animal food manufacturing
2018,Nova Scotia,7.0,Animal food manufacturing
2019,Nova Scotia,9.0,Animal food manufacturing
2020,Nova Scotia,4.0,Animal food manufacturing
2021,Nova Scotia,3.0,Animal food manufacturing
2022,Nova Scotia,3.0,Animal food manufacturing
2023,Nova Scotia,3.0,Animal food manufacturing
2013,Nova Scotia,15.0,Fruit and vegetable preserving and specialty food manufacturing
2014,Nova Scotia,23.0,Fruit and vegetable preserving and specialty food manufacturing
2015,Nova Scotia,6.0,Fruit and vegetable preserving and specialty food manufacturing
2016,Nova Scotia,5.0,Fruit and vegetable preserving and specialty food manufacturing
2017,Nova Scotia,4.0,Fruit and vegetable preserving and specialty food manufacturing
2018,Nova Scotia,4.0,Fruit and vegetable preserving and specialty food manufacturing
2019,Nova Scotia,5.0,Fruit and vegetable preserving and specialty food manufacturing
2020,Nova Scotia,6.0,Fruit and vegetable preserving and specialty food manufacturing
2021,Nova Scotia,9.0,Fruit and vegetable preserving and specialty food manufacturing
2022,Nova Scotia,10.0,Fruit and vegetable preserving and specialty food manufacturing
2023,Nova Scotia,10.0,Fruit and vegetable preserving and specialty food manufacturing
2013,Nova Scotia,12.0,Dairy product manufacturing
2014,Nova Scotia,4.0,Dairy product manufacturing
2015,Nova Scotia,5.0,Dairy product manufacturing
2016,Nova Scotia,5.0,Dairy product manufacturing
2017,Nova Scotia,6.0,Dairy product manufacturing
2018,Nova Scotia,9.0,Dairy product manufacturing
2019,Nova Scotia,10.0,Dairy product manufacturing
2020,Nova Scotia,7.0,Dairy product manufacturing
2021,Nova Scotia,8.0,Dairy product manufacturing
2022,Nova Scotia,15.0,Dairy product manufacturing
2023,Nova Scotia,15.0,Dairy product manufacturing
2013,Nova Scotia,33.0,Meat product manufacturing
2014,Nova Scotia,38.0,Meat product manufacturing
2015,Nova Scotia,12.0,Meat product manufacturing
2016,Nova Scotia,14.0,Meat product manufacturing
2017,Nova Scotia,16.0,Meat product manufacturing
2018,Nova Scotia,37.0,Meat product manufacturing
2019,Nova Scotia,31.0,Meat product manufacturing
2020,Nova Scotia,6.0,Meat product manufacturing
2021,Nova Scotia,9.0,Meat product manufacturing
2022,Nova Scotia,7.0,Meat product manufacturing
2023,Nova Scotia,7.0,Meat product manufacturing
2013,Nova Scotia,80.0,Seafood product preparation and packaging
2014,Nova Scotia,85.0,Seafood product preparation and packaging
2015,Nova Scotia,50.0,Seafood product preparation and packaging
2016,Nova Scotia,43.0,Seafood product preparation and packaging
2017,Nova Scotia,38.0,Seafood product preparation and packaging
2018,Nova Scotia,42.0,Seafood product preparation and packaging
2019,Nova Scotia,47.0,Seafood product preparation and packaging
2020,Nova Scotia,30.0,Seafood product preparation and packaging
2021,Nova Scotia,34.0,Seafood product preparation and packaging
2022,Nova Scotia,27.0,Seafood product preparation and packaging
2023,Nova Scotia,27.0,Seafood product preparation and packaging
2013,Nova Scotia,15.0,Miscellaneous food manufacturing
2014,Nova Scotia,15.0,Miscellaneous food manufacturing
2015,Nova Scotia,21.0,Miscellaneous food manufacturing
2016,Nova Scotia,18.0,Miscellaneous food manufacturing
2017,Nova Scotia,15.0,Miscellaneous food manufacturing
2018,Nova Scotia,19.0,Miscellaneous food manufacturing
2019,Nova Scotia,19.0,Miscellaneous food manufacturing
2020,Nova Scotia,15.0,Miscellaneous food manufacturing
2021,Nova Scotia,16.0,Miscellaneous food manufacturing
2022,Nova Scotia,16.0,Miscellaneous food manufacturing
2023,Nova Scotia,15.0,Miscellaneous food manufacturing
2013,Nova Scotia,1.0,Soft drink and ice manufacturing
2014,Nova Scotia,2.0,Soft drink and ice manufacturing
2015,Nova Scotia,3.0,Soft drink and ice manufacturing
2016,Nova Scotia,2.0,Soft drink and ice manufacturing
2017,Nova Scotia,1.0,Soft drink and ice manufacturing
2018,Nova Scotia,3.0,Soft drink and ice manufacturing
2019,Nova Scotia,2.0,Soft drink and ice manufacturing
2020,Nova Scotia,1.0,Soft drink and ice manufacturing
2021,Nova Scotia,1.0,Soft drink and ice manufacturing
2022,Nova Scotia,1.0,Soft drink and ice manufacturing
2023,Nova Scotia,1.0,Soft drink and ice manufacturing
2013,Nova Scotia,3.0,Breweries
2014,Nova Scotia,2.0,Breweries
2015,Nova Scotia,4.0,Breweries
2016,Nova Scotia,5.0,Breweries
2017,Nova Scotia,6.0,Breweries
2018,Nova Scotia,8.0,Breweries
2019,Nova Scotia,11.0,Breweries
2020,Nova Scotia,7.0,Breweries
2021,Nova Scotia,7.0,Breweries
2022,Nova Scotia,12.0,Breweries
2023,Nova Scotia,12.0,Breweries
2013,Nova Scotia,1.0,Wineries and distilleries
2014,Nova Scotia,1.0,Wineries and distilleries
2015,Nova Scotia,1.0,Wineries and distilleries
2016,Nova Scotia,1.0,Wineries and distilleries
2017,Nova Scotia,1.0,Wineries and distilleries
2018,Nova Scotia,2.0,Wineries and distilleries
2019,Nova Scotia,2.0,Wineries and distilleries
2020,Nova Scotia,2.0,Wineries and distilleries
2021,Nova Scotia,2.0,Wineries and distilleries
2022,Nova Scotia,2.0,Wineries and distilleries
2023,Nova Scotia,2.0,Wineries and distilleries
2016,Nova Scotia,0.0,Tobacco manufacturing
2017,Nova Scotia,0.0,Tobacco manufacturing
2018,Nova Scotia,0.0,Tobacco manufacturing
2019,Nova Scotia,0.0,Tobacco manufacturing
2023,Nova Scotia,0.0,Tobacco and cannabis product manufacturing
2013,Nova Scotia,17.0,Textile and textile product mills
2014,Nova Scotia,21.0,Textile and textile product mills
2015,Nova Scotia,8.0,Textile and textile product mills
2016,Nova Scotia,6.0,Textile and textile product mills
2017,Nova Scotia,10.0,Textile and textile product mills
2018,Nova Scotia,4.0,Textile and textile product mills
2019,Nova Scotia,3.0,Textile and textile product mills
2020,Nova Scotia,1.0,Textile and textile product mills
2021,Nova Scotia,1.0,Textile and textile product mills
2022,Nova Scotia,1.0,Textile and textile product mills
2023,Nova Scotia,1.0,Textile and textile product mills
2013,Nova Scotia,13.0,Clothing and leather and allied product manufacturing
2014,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2015,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2016,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2017,Nova Scotia,2.0,Clothing and leather and allied product manufacturing
2018,Nova Scotia,3.0,Clothing and leather and allied product manufacturing
2019,Nova Scotia,3.0,Clothing and leather and allied product manufacturing
2020,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2021,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2022,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2023,Nova Scotia,1.0,Clothing and leather and allied product manufacturing
2013,Nova Scotia,127.0,Wood product manufacturing
2014,Nova Scotia,167.0,Wood product manufacturing
2015,Nova Scotia,161.0,Wood product manufacturing
2016,Nova Scotia,176.0,Wood product manufacturing
2017,Nova Scotia,187.0,Wood product manufacturing
2018,Nova Scotia,146.0,Wood product manufacturing
2019,Nova Scotia,143.0,Wood product manufacturing
2020,Nova Scotia,128.0,Wood product manufacturing
2021,Nova Scotia,138.0,Wood product manufacturing
2022,Nova Scotia,81.0,Wood product manufacturing
2023,Nova Scotia,108.0,Wood product manufacturing
2013,Nova Scotia,714.0,"Pulp, paper and paperboard mills"
2014,Nova Scotia,1094.0,"Pulp, paper and paperboard mills"
2015,Nova Scotia,934.0,"Pulp, paper and paperboard mills"
2016,Nova Scotia,926.0,"Pulp, paper and paperboard mills"
2017,Nova Scotia,929.0,"Pulp, paper and paperboard mills"
2018,Nova Scotia,918.0,"Pulp, paper and paperboard mills"
2019,Nova Scotia,819.0,"Pulp, paper and paperboard mills"
2020,Nova Scotia,1.0,"Pulp, paper and paperboard mills"
2021,Nova Scotia,1.0,"Pulp, paper and paperboard mills"
2022,Nova Scotia,1.0,"Pulp, paper and paperboard mills"
2023,Nova Scotia,1.0,"Pulp, paper and paperboard mills"
2013,Nova Scotia,13.0,Converted paper product manufacturing
2014,Nova Scotia,12.0,Converted paper product manufacturing
2015,Nova Scotia,19.0,Converted paper product manufacturing
2016,Nova Scotia,17.0,Converted paper product manufacturing
2017,Nova Scotia,18.0,Converted paper product manufacturing
2018,Nova Scotia,15.0,Converted paper product manufacturing
2019,Nova Scotia,14.0,Converted paper product manufacturing
2020,Nova Scotia,15.0,Converted paper product manufacturing
2021,Nova Scotia,16.0,Converted paper product manufacturing
2022,Nova Scotia,15.0,Converted paper product manufacturing
2023,Nova Scotia,15.0,Converted paper product manufacturing
2013,Nova Scotia,1.0,Printing and related support activities
2014,Nova Scotia,3.0,Printing and related support activities
2015,Nova Scotia,3.0,Printing and related support activities
2016,Nova Scotia,4.0,Printing and related support activities
2017,Nova Scotia,5.0,Printing and related support activities
2018,Nova Scotia,2.0,Printing and related support activities
2019,Nova Scotia,2.0,Printing and related support activities
2020,Nova Scotia,1.0,Printing and related support activities
2021,Nova Scotia,1.0,Printing and related support activities
2022,Nova Scotia,1.0,Printing and related support activities
2023,Nova Scotia,1.0,Printing and related support activities
2013,Nova Scotia,777.0,Petroleum and coal product manufacturing
2014,Nova Scotia,3.0,Petroleum and coal product manufacturing
2015,Nova Scotia,9.0,Petroleum and coal product manufacturing
2016,Nova Scotia,8.0,Petroleum and coal product manufacturing
2017,Nova Scotia,7.0,Petroleum and coal product manufacturing
2018,Nova Scotia,11.0,Petroleum and coal product manufacturing
2019,Nova Scotia,7.0,Petroleum and coal product manufacturing
2020,Nova Scotia,6.0,Petroleum and coal product manufacturing
2021,Nova Scotia,6.0,Petroleum and coal product manufacturing
2022,Nova Scotia,10.0,Petroleum and coal product manufacturing
2023,Nova Scotia,11.0,Petroleum and coal product manufacturing
2013,Nova Scotia,17.0,Basic chemical manufacturing
2014,Nova Scotia,6.0,Basic chemical manufacturing
2015,Nova Scotia,1.0,Basic chemical manufacturing
2016,Nova Scotia,4.0,Basic chemical manufacturing
2017,Nova Scotia,4.0,Basic chemical manufacturing
2018,Nova Scotia,3.0,Basic chemical manufacturing
2019,Nova Scotia,7.0,Basic chemical manufacturing
2020,Nova Scotia,28.0,Basic chemical manufacturing
2021,Nova Scotia,32.0,Basic chemical manufacturing
2022,Nova Scotia,36.0,Basic chemical manufacturing
2023,Nova Scotia,38.0,Basic chemical manufacturing
2013,Nova Scotia,4.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2014,Nova Scotia,2.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2015,Nova Scotia,2.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2016,Nova Scotia,3.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2017,Nova Scotia,4.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2018,Nova Scotia,5.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2019,Nova Scotia,5.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2020,Nova Scotia,5.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2021,Nova Scotia,4.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2022,Nova Scotia,3.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2023,Nova Scotia,3.0,"Pesticide, fertilizer and other agricultural chemical manufacturing"
2013,Nova Scotia,2.0,Pharmaceutical and medicine manufacturing
2014,Nova Scotia,7.0,Pharmaceutical and medicine manufacturing
2015,Nova Scotia,4.0,Pharmaceutical and medicine manufacturing
2016,Nova Scotia,2.0,Pharmaceutical and medicine manufacturing
2017,Nova Scotia,5.0,Pharmaceutical and medicine manufacturing
2018,Nova Scotia,2.0,Pharmaceutical and medicine manufacturing
2019,Nova Scotia,3.0,Pharmaceutical and medicine manufacturing
2020,Nova Scotia,4.0,Pharmaceutical and medicine manufacturing
2021,Nova Scotia,5.0,Pharmaceutical and medicine manufacturing
2022,Nova Scotia,5.0,Pharmaceutical and medicine manufacturing
2023,Nova Scotia,5.0,Pharmaceutical and medicine manufacturing
2013,Nova Scotia,3.0,Miscellaneous chemical product manufacturing
2014,Nova Scotia,1.0,Miscellaneous chemical product manufacturing
2015,Nova Scotia,2.0,Miscellaneous chemical product manufacturing
2016,Nova Scotia,1.0,Miscellaneous chemical product manufacturing
2017,Nova Scotia,1.0,Miscellaneous chemical product manufacturing
2018,Nova Scotia,2.0,Miscellaneous chemical product manufacturing
2019,Nova Scotia,2.0,Miscellaneous chemical product manufacturing
2020,Nova Scotia,2.0,Miscellaneous chemical product manufacturing
2021,Nova Scotia,2.0,Miscellaneous chemical product manufacturing
2022,Nova Scotia,1.0,Miscellaneous chemical product manufacturing
2023,Nova Scotia,1.0,Miscellaneous chemical product manufacturing
2013,Nova Scotia,9.0,Plastic product manufacturing
2014,Nova Scotia,6.0,Plastic product manufacturing
2015,Nova Scotia,6.0,Plastic product manufacturing
2016,Nova Scotia,24.0,Plastic product manufacturing
2017,Nova Scotia,24.0,Plastic product manufacturing
2018,Nova Scotia,41.0,Plastic product manufacturing
2019,Nova Scotia,28.0,Plastic product manufacturing
2020,Nova Scotia,13.0,Plastic product manufacturing
2021,Nova Scotia,15.0,Plastic product manufacturing
2022,Nova Scotia,12.0,Plastic product manufacturing
2023,Nova Scotia,12.0,Plastic product manufacturing
2013,Nova Scotia,32.0,Rubber product manufacturing
2014,Nova Scotia,48.0,Rubber product manufacturing
2015,Nova Scotia,55.0,Rubber product manufacturing
2016,Nova Scotia,40.0,Rubber product manufacturing
2017,Nova Scotia,44.0,Rubber product manufacturing
2018,Nova Scotia,80.0,Rubber product manufacturing
2019,Nova Scotia,70.0,Rubber product manufacturing
2020,Nova Scotia,31.0,Rubber product manufacturing
2021,Nova Scotia,40.0,Rubber product manufacturing
2022,Nova Scotia,23.0,Rubber product manufacturing
2023,Nova Scotia,24.0,Rubber product manufacturing
2013,Nova Scotia,5.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2014,Nova Scotia,7.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2015,Nova Scotia,12.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2016,Nova Scotia,5.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2017,Nova Scotia,9.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2018,Nova Scotia,11.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2019,Nova Scotia,8.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2020,Nova Scotia,7.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2021,Nova Scotia,8.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2022,Nova Scotia,7.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2023,Nova Scotia,7.0,Non-metallic mineral product manufacturing (except cement and concrete products)
2013,Nova Scotia,277.0,Cement and concrete product manufacturing
2014,Nova Scotia,282.0,Cement and concrete product manufacturing
2015,Nova Scotia,283.0,Cement and concrete product manufacturing
2016,Nova Scotia,287.0,Cement and concrete product manufacturing
2017,Nova Scotia,227.0,Cement and concrete product manufacturing
2018,Nova Scotia,220.0,Cement and concrete product manufacturing
2019,Nova Scotia,170.0,Cement and concrete product manufacturing
2020,Nova Scotia,192.0,Cement and concrete product manufacturing
2021,Nova Scotia,241.0,Cement and concrete product manufacturing
2022,Nova Scotia,233.0,Cement and concrete product manufacturing
2023,Nova Scotia,223.0,Cement and concrete product manufacturing
2013,Nova Scotia,16.0,Fabricated metal product manufacturing
2014,Nova Scotia,13.0,Fabricated metal product manufacturing
2015,Nova Scotia,14.0,Fabricated metal product manufacturing
2016,Nova Scotia,13.0,Fabricated metal product manufacturing
2017,Nova Scotia,13.0,Fabricated metal product manufacturing
2018,Nova Scotia,31.0,Fabricated metal product manufacturing
2019,Nova Scotia,36.0,Fabricated metal product manufacturing
2020,Nova Scotia,13.0,Fabricated metal product manufacturing
2021,Nova Scotia,11.0,Fabricated metal product manufacturing
2022,Nova Scotia,9.0,Fabricated metal product manufacturing
2023,Nova Scotia,9.0,Fabricated metal product manufacturing
2013,Nova Scotia,5.0,Machinery manufacturing
2014,Nova Scotia,2.0,Machinery manufacturing
2015,Nova Scotia,3.0,Machinery manufacturing
2016,Nova Scotia,3.0,Machinery manufacturing
2017,Nova Scotia,2.0,Machinery manufacturing
2018,Nova Scotia,3.0,Machinery manufacturing
2019,Nova Scotia,4.0,Machinery manufacturing
2020,Nova Scotia,3.0,Machinery manufacturing
2021,Nova Scotia,3.0,Machinery manufacturing
2022,Nova Scotia,3.0,Machinery manufacturing
2023,Nova Scotia,3.0,Machinery manufacturing
2013,Nova Scotia,4.0,Electronic product manufacturing
2014,Nova Scotia,2.0,Electronic product manufacturing
2015,Nova Scotia,1.0,Electronic product manufacturing
2016,Nova Scotia,1.0,Electronic product manufacturing
2017,Nova Scotia,1.0,Electronic product manufacturing
2018,Nova Scotia,1.0,Electronic product manufacturing
2019,Nova Scotia,2.0,Electronic product manufacturing
2020,Nova Scotia,1.0,Electronic product manufacturing
2021,Nova Scotia,2.0,Electronic product manufacturing
2022,Nova Scotia,1.0,Computer and electronic product manufacturing
2023,Nova Scotia,1.0,Computer and electronic product manufacturing
2013,Nova Scotia,1.0,Electrical  equipment and component manufacturing
2014,Nova Scotia,1.0,Electrical  equipment and component manufacturing
2016,Nova Scotia,1.0,Electrical  equipment and component manufacturing
2017,Nova Scotia,1.0,Electrical  equipment and component manufacturing
2018,Nova Scotia,5.0,Electrical  equipment and component manufacturing
2019,Nova Scotia,7.0,Electrical  equipment and component manufacturing
2020,Nova Scotia,1.0,Electrical  equipment and component manufacturing
2021,Nova Scotia,2.0,Electrical  equipment and component manufacturing
2022,Nova Scotia,1.0,"Electrical equipment, appliance and component manufacturing"
2023,Nova Scotia,1.0,"Electrical equipment, appliance and component manufacturing"
2013,Nova Scotia,1.0,Motor vehicle manufacturing
2014,Nova Scotia,1.0,Motor vehicle manufacturing
2015,Nova Scotia,1.0,Motor vehicle manufacturing
2016,Nova Scotia,1.0,Motor vehicle manufacturing
2020,Nova Scotia,1.0,Motor vehicle manufacturing
2021,Nova Scotia,1.0,Motor vehicle manufacturing
2022,Nova Scotia,1.0,Motor vehicle manufacturing
2023,Nova Scotia,1.0,Motor vehicle manufacturing
2018,Nova Scotia,1.0,Motor vehicle body and trailer manufacturing
2013,Nova Scotia,8.0,Aerospace product and parts manufacturing
2014,Nova Scotia,4.0,Aerospace product and parts manufacturing
2015,Nova Scotia,5.0,Aerospace product and parts manufacturing
2016,Nova Scotia,10.0,Aerospace product and parts manufacturing
2017,Nova Scotia,11.0,Aerospace product and parts manufacturing
2018,Nova Scotia,6.0,Aerospace product and parts manufacturing
2019,Nova Scotia,7.0,Aerospace product and parts manufacturing
2020,Nova Scotia,14.0,Aerospace product and parts manufacturing
2021,Nova Scotia,16.0,Aerospace product and parts manufacturing
2022,Nova Scotia,15.0,Aerospace product and parts manufacturing
2023,Nova Scotia,15.0,Aerospace product and parts manufacturing
2016,Nova Scotia,0.0,Railroad rolling stock manufacturing
2017,Nova Scotia,0.0,Railroad rolling stock manufacturing
2018,Nova Scotia,0.0,Railroad rolling stock manufacturing
2019,Nova Scotia,0.0,Railroad rolling stock manufacturing
2013,Nova Scotia,2.0,Ship and boat building
2014,Nova Scotia,3.0,Ship and boat building
2015,Nova Scotia,5.0,Ship and boat building
2016,Nova Scotia,4.0,Ship and boat building
2017,Nova Scotia,6.0,Ship and boat building
2018,Nova Scotia,8.0,Ship and boat building
2019,Nova Scotia,9.0,Ship and boat building
2020,Nova Scotia,9.0,Ship and boat building
2021,Nova Scotia,11.0,Ship and boat building
2022,Nova Scotia,15.0,Ship and boat building
2023,Nova Scotia,16.0,Ship and boat building
2013,Nova Scotia,4.0,Furniture and related product manufacturing
2014,Nova Scotia,2.0,Furniture and related product manufacturing
2015,Nova Scotia,2.0,Furniture and related product manufacturing
2016,Nova Scotia,2.0,Furniture and related product manufacturing
2017,Nova Scotia,4.0,Furniture and related product manufacturing
2018,Nova Scotia,5.0,Furniture and related product manufacturing
2019,Nova Scotia,5.0,Furniture and related product manufacturing
2020,Nova Scotia,2.0,Furniture and related product manufacturing
2021,Nova Scotia,2.0,Furniture and related product manufacturing
2022,Nova Scotia,2.0,Furniture and related product manufacturing
2023,Nova Scotia,2.0,Furniture and related product manufacturing
2013,Nova Scotia,5.0,Miscellaneous manufacturing
2014,Nova Scotia,2.0,Miscellaneous manufacturing
2015,Nova Scotia,3.0,Miscellaneous manufacturing
2016,Nova Scotia,3.0,Miscellaneous manufacturing
2017,Nova Scotia,3.0,Miscellaneous manufacturing
2018,Nova Scotia,7.0,Miscellaneous manufacturing
2019,Nova Scotia,7.0,Miscellaneous manufacturing
2020,Nova Scotia,3.0,Miscellaneous manufacturing
2021,Nova Scotia,2.0,Miscellaneous manufacturing
2022,Nova Scotia,2.0,Miscellaneous manufacturing
2023,Nova Scotia,2.0,Miscellaneous manufacturing
2013,Nova Scotia,113.0,Wholesale trade
2014,Nova Scotia,104.0,Wholesale trade
2015,Nova Scotia,112.0,Wholesale trade
2016,Nova Scotia,109.0,Wholesale trade
2017,Nova Scotia,117.0,Wholesale trade
2018,Nova Scotia,122.0,Wholesale trade
2019,Nova Scotia,112.0,Wholesale trade
2020,Nova Scotia,110.0,Wholesale trade
2021,Nova Scotia,110.0,Wholesale trade
2022,Nova Scotia,98.0,Wholesale trade
2023,Nova Scotia,95.0,Wholesale trade
2013,Nova Scotia,227.0,Retail trade
2014,Nova Scotia,218.0,Retail trade (except cannabis)
2015,Nova Scotia,225.0,Retail trade (except cannabis)
2016,Nova Scotia,233.0,Retail trade (except cannabis)
2017,Nova Scotia,279.0,Retail trade (except cannabis)
2018,Nova Scotia,306.0,Retail trade (except cannabis)
2019,Nova Scotia,298.0,Retail trade (except cannabis)
2020,Nova Scotia,251.0,Retail trade (except cannabis)
2021,Nova Scotia,234.0,Retail trade (except cannabis)
2022,Nova Scotia,207.0,Retail trade (except cannabis)
2023,Nova Scotia,209.0,Retail trade (except cannabis)
2014,Nova Scotia,0.0,Cannabis stores (licensed)
2015,Nova Scotia,0.0,Cannabis stores (licensed)
2016,Nova Scotia,0.0,Cannabis stores (licensed)
2017,Nova Scotia,0.0,Cannabis stores (licensed)
2019,Nova Scotia,1.0,Cannabis stores (licensed)
2020,Nova Scotia,2.0,Cannabis stores (licensed)
2021,Nova Scotia,2.0,Cannabis stores (licensed)
2022,Nova Scotia,2.0,Cannabis retailers (licensed)
2023,Nova Scotia,2.0,Cannabis retailers (licensed)
2014,Nova Scotia,1.0,Cannabis stores (unlicensed)
2015,Nova Scotia,1.0,Cannabis stores (unlicensed)
2016,Nova Scotia,1.0,Cannabis stores (unlicensed)
2017,Nova Scotia,1.0,Cannabis stores (unlicensed)
2018,Nova Scotia,1.0,Cannabis stores (unlicensed)
2019,Nova Scotia,1.0,Cannabis stores (unlicensed)
2020,Nova Scotia,1.0,Cannabis stores (unlicensed)
2013,Nova Scotia,381.0,Air transportation
2014,Nova Scotia,348.0,Air transportation
2015,Nova Scotia,246.0,Air transportation
2016,Nova Scotia,247.0,Air transportation
2017,Nova Scotia,235.0,Air transportation
2018,Nova Scotia,247.0,Air transportation
2019,Nova Scotia,263.0,Air transportation
2020,Nova Scotia,144.0,Air transportation
2021,Nova Scotia,139.0,Air transportation
2022,Nova Scotia,231.0,Air transportation
2023,Nova Scotia,262.0,Air transportation
2013,Nova Scotia,29.0,Rail transportation
2014,Nova Scotia,29.0,Rail transportation
2015,Nova Scotia,30.0,Rail transportation
2016,Nova Scotia,31.0,Rail transportation
2017,Nova Scotia,32.0,Rail transportation
2018,Nova Scotia,31.0,Rail transportation
2019,Nova Scotia,25.0,Rail transportation
2020,Nova Scotia,21.0,Rail transportation
2021,Nova Scotia,22.0,Rail transportation
2022,Nova Scotia,24.0,Rail transportation
2023,Nova Scotia,30.0,Rail transportation
2013,Nova Scotia,362.0,Water transportation
2014,Nova Scotia,315.0,Water transportation
2015,Nova Scotia,258.0,Water transportation
2016,Nova Scotia,234.0,Water transportation
2017,Nova Scotia,254.0,Water transportation
2018,Nova Scotia,281.0,Water transportation
2019,Nova Scotia,302.0,Water transportation
2020,Nova Scotia,268.0,Water transportation
2021,Nova Scotia,220.0,Water transportation
2022,Nova Scotia,244.0,Water transportation
2023,Nova Scotia,242.0,Water transportation
2013,Nova Scotia,347.0,Truck transportation
2014,Nova Scotia,404.0,Truck transportation
2015,Nova Scotia,397.0,Truck transportation
2016,Nova Scotia,278.0,Truck transportation
2017,Nova Scotia,284.0,Truck transportation
2018,Nova Scotia,285.0,Truck transportation
2019,Nova Scotia,265.0,Truck transportation
2020,Nova Scotia,248.0,Truck transportation
2021,Nova Scotia,256.0,Truck transportation
2022,Nova Scotia,249.0,Truck transportation
2023,Nova Scotia,237.0,Truck transportation
2013,Nova Scotia,84.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2014,Nova Scotia,81.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2015,Nova Scotia,93.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2016,Nova Scotia,94.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2017,Nova Scotia,101.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2018,Nova Scotia,82.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2019,Nova Scotia,85.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2020,Nova Scotia,82.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2021,Nova Scotia,87.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2022,Nova Scotia,91.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2023,Nova Scotia,90.0,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
2013,Nova Scotia,4.0,Pipeline transportation
