Year,Provinces,Emissions,Sectors
2021,Prince Edward Island,10,Seafood product preparation and packaging [BS31170]
2022,Prince Edward Island,9,Seafood product preparation and packaging [BS31170]
2023,Prince Edward Island,9,Seafood product preparation and packaging [BS31170]
2015,Prince Edward Island,1,Miscellaneous food manufacturing [BS311A0]
2018,Prince Edward Island,1,Miscellaneous food manufacturing [BS311A0]
2022,Prince Edward Island,1,Miscellaneous food manufacturing [BS311A0]
2022,Prince Edward Island,1,Breweries [BS31212]
2013,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2014,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2015,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2016,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2017,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2018,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2019,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2020,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2021,Prince Edward Island,0,Tobacco manufacturing [BS31220]
2022,Prince Edward Island,0,Tobacco and cannabis product manufacturing [BS312A0]
2023,Prince Edward Island,0,Tobacco and cannabis product manufacturing [BS312A0]
2019,Prince Edward Island,1,Clothing and leather and allied product manufacturing [BS31B00]
2021,Prince Edward Island,1,Clothing and leather and allied product manufacturing [BS31B00]
2013,Prince Edward Island,1,Wood product manufacturing [BS32100]
2014,Prince Edward Island,34,Wood product manufacturing [BS32100]
2015,Prince Edward Island,2,Wood product manufacturing [BS32100]
2016,Prince Edward Island,2,Wood product manufacturing [BS32100]
2017,Prince Edward Island,1,Wood product manufacturing [BS32100]
2018,Prince Edward Island,2,Wood product manufacturing [BS32100]
2019,Prince Edward Island,1,Wood product manufacturing [BS32100]
2020,Prince Edward Island,1,Wood product manufacturing [BS32100]
2021,Prince Edward Island,1,Wood product manufacturing [BS32100]
2022,Prince Edward Island,2,Wood product manufacturing [BS32100]
2023,Prince Edward Island,2,Wood product manufacturing [BS32100]
2013,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2014,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2015,Prince Edward Island,6,Converted paper product manufacturing [BS32220]
2016,Prince Edward Island,5,Converted paper product manufacturing [BS32220]
2017,Prince Edward Island,5,Converted paper product manufacturing [BS32220]
2018,Prince Edward Island,6,Converted paper product manufacturing [BS32220]
2019,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2020,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2021,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2022,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2023,Prince Edward Island,1,Converted paper product manufacturing [BS32220]
2017,Prince Edward Island,1,Printing and related support activities [BS32300]
2013,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2014,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2015,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2016,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2017,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2018,Prince Edward Island,1,Petroleum and coal product manufacturing [BS32400]
2019,Prince Edward Island,2,Petroleum and coal product manufacturing [BS32400]
2020,Prince Edward Island,2,Petroleum and coal product manufacturing [BS32400]
2021,Prince Edward Island,3,Petroleum and coal product manufacturing [BS32400]
2022,Prince Edward Island,3,Petroleum and coal product manufacturing [BS32400]
2023,Prince Edward Island,3,Petroleum and coal product manufacturing [BS32400]
2013,Prince Edward Island,1,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2014,Prince Edward Island,1,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2015,Prince Edward Island,1,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2016,Prince Edward Island,1,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2017,Prince Edward Island,3,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2018,Prince Edward Island,4,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2019,Prince Edward Island,5,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2020,Prince Edward Island,5,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2021,Prince Edward Island,3,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2022,Prince Edward Island,4,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2023,Prince Edward Island,4,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS32530]"
2013,Prince Edward Island,1,Pharmaceutical and medicine manufacturing [BS32540]
2014,Prince Edward Island,10,Pharmaceutical and medicine manufacturing [BS32540]
2015,Prince Edward Island,3,Pharmaceutical and medicine manufacturing [BS32540]
2016,Prince Edward Island,3,Pharmaceutical and medicine manufacturing [BS32540]
2017,Prince Edward Island,2,Pharmaceutical and medicine manufacturing [BS32540]
2018,Prince Edward Island,2,Pharmaceutical and medicine manufacturing [BS32540]
2019,Prince Edward Island,2,Pharmaceutical and medicine manufacturing [BS32540]
2020,Prince Edward Island,1,Pharmaceutical and medicine manufacturing [BS32540]
2021,Prince Edward Island,1,Pharmaceutical and medicine manufacturing [BS32540]
2022,Prince Edward Island,1,Pharmaceutical and medicine manufacturing [BS32540]
2023,Prince Edward Island,1,Pharmaceutical and medicine manufacturing [BS32540]
2018,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2019,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2020,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2021,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2022,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2023,Prince Edward Island,1,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A0]
2013,Prince Edward Island,2,Cement and concrete product manufacturing [BS32730]
2015,Prince Edward Island,1,Cement and concrete product manufacturing [BS32730]
2016,Prince Edward Island,5,Cement and concrete product manufacturing [BS32730]
2017,Prince Edward Island,3,Cement and concrete product manufacturing [BS32730]
2018,Prince Edward Island,3,Cement and concrete product manufacturing [BS32730]
2019,Prince Edward Island,4,Cement and concrete product manufacturing [BS32730]
2020,Prince Edward Island,4,Cement and concrete product manufacturing [BS32730]
2021,Prince Edward Island,4,Cement and concrete product manufacturing [BS32730]
2022,Prince Edward Island,5,Cement and concrete product manufacturing [BS32730]
2023,Prince Edward Island,5,Cement and concrete product manufacturing [BS32730]
2013,Prince Edward Island,1,Fabricated metal product manufacturing [BS33200]
2014,Prince Edward Island,1,Fabricated metal product manufacturing [BS33200]
2015,Prince Edward Island,2,Fabricated metal product manufacturing [BS33200]
2016,Prince Edward Island,3,Fabricated metal product manufacturing [BS33200]
2017,Prince Edward Island,5,Fabricated metal product manufacturing [BS33200]
2018,Prince Edward Island,2,Fabricated metal product manufacturing [BS33200]
2019,Prince Edward Island,5,Fabricated metal product manufacturing [BS33200]
2020,Prince Edward Island,1,Fabricated metal product manufacturing [BS33200]
2021,Prince Edward Island,11,Fabricated metal product manufacturing [BS33200]
2022,Prince Edward Island,6,Fabricated metal product manufacturing [BS33200]
2023,Prince Edward Island,7,Fabricated metal product manufacturing [BS33200]
2014,Prince Edward Island,1,Machinery manufacturing [BS33300]
2015,Prince Edward Island,1,Machinery manufacturing [BS33300]
2016,Prince Edward Island,2,Machinery manufacturing [BS33300]
2017,Prince Edward Island,1,Machinery manufacturing [BS33300]
2018,Prince Edward Island,1,Machinery manufacturing [BS33300]
2019,Prince Edward Island,1,Machinery manufacturing [BS33300]
2020,Prince Edward Island,1,Machinery manufacturing [BS33300]
2021,Prince Edward Island,1,Machinery manufacturing [BS33300]
2022,Prince Edward Island,1,Machinery manufacturing [BS33300]
2023,Prince Edward Island,1,Machinery manufacturing [BS33300]
2018,Prince Edward Island,1,Motor vehicle body and trailer manufacturing [BS33620]
2019,Prince Edward Island,1,Motor vehicle body and trailer manufacturing [BS33620]
2013,Prince Edward Island,1,Aerospace product and parts manufacturing [BS33640]
2022,Prince Edward Island,1,Aerospace product and parts manufacturing [BS33640]
2023,Prince Edward Island,1,Aerospace product and parts manufacturing [BS33640]
2013,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2014,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2015,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2016,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2017,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2018,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2019,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2020,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2021,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2022,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2023,Prince Edward Island,0,Railroad rolling stock manufacturing [BS33650]
2022,Prince Edward Island,1,Ship and boat building [BS33660]
2019,Prince Edward Island,1,Furniture and related product manufacturing [BS33700]
2013,Prince Edward Island,1,Miscellaneous manufacturing [BS33900]
2013,Prince Edward Island,11,Wholesale trade [BS41000]
2014,Prince Edward Island,13,Wholesale trade [BS41000]
2015,Prince Edward Island,14,Wholesale trade [BS41000]
2016,Prince Edward Island,16,Wholesale trade [BS41000]
2017,Prince Edward Island,13,Wholesale trade [BS41000]
2018,Prince Edward Island,16,Wholesale trade [BS41000]
2019,Prince Edward Island,16,Wholesale trade [BS41000]
2020,Prince Edward Island,16,Wholesale trade [BS41000]
2021,Prince Edward Island,17,Wholesale trade [BS41000]
2022,Prince Edward Island,11,Wholesale trade [BS41000]
2023,Prince Edward Island,11,Wholesale trade [BS41000]
2013,Prince Edward Island,22,Retail trade [BS4A000]
2014,Prince Edward Island,22,Retail trade (except cannabis) [BS4AA00]
2015,Prince Edward Island,23,Retail trade (except cannabis) [BS4AA00]
2016,Prince Edward Island,25,Retail trade (except cannabis) [BS4AA00]
2017,Prince Edward Island,22,Retail trade (except cannabis) [BS4AA00]
2018,Prince Edward Island,26,Retail trade (except cannabis) [BS4AA00]
2019,Prince Edward Island,25,Retail trade (except cannabis) [BS4AA00]
2020,Prince Edward Island,26,Retail trade (except cannabis) [BS4AA00]
2021,Prince Edward Island,28,Retail trade (except cannabis) [BS4AA00]
2022,Prince Edward Island,20,Retail trade (except cannabis) [BS4AA00]
2023,Prince Edward Island,19,Retail trade (except cannabis) [BS4AA00]
2014,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2015,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2016,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2017,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2020,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2021,Prince Edward Island,0,Cannabis stores (licensed) [BS453BL]
2022,Prince Edward Island,0,Cannabis retailers (licensed) [BS459BL]
2023,Prince Edward Island,0,Cannabis retailers (licensed) [BS459BL]
2013,Prince Edward Island,7,Air transportation [BS48100]
2014,Prince Edward Island,7,Air transportation [BS48100]
2015,Prince Edward Island,7,Air transportation [BS48100]
2016,Prince Edward Island,7,Air transportation [BS48100]
2017,Prince Edward Island,11,Air transportation [BS48100]
2018,Prince Edward Island,9,Air transportation [BS48100]
2019,Prince Edward Island,9,Air transportation [BS48100]
2020,Prince Edward Island,3,Air transportation [BS48100]
2021,Prince Edward Island,3,Air transportation [BS48100]
2022,Prince Edward Island,4,Air transportation [BS48100]
2023,Prince Edward Island,5,Air transportation [BS48100]
2013,Prince Edward Island,20,Water transportation [BS48300]
2014,Prince Edward Island,23,Water transportation [BS48300]
2015,Prince Edward Island,28,Water transportation [BS48300]
2016,Prince Edward Island,29,Water transportation [BS48300]
2017,Prince Edward Island,24,Water transportation [BS48300]
2018,Prince Edward Island,25,Water transportation [BS48300]
2019,Prince Edward Island,20,Water transportation [BS48300]
2020,Prince Edward Island,20,Water transportation [BS48300]
2021,Prince Edward Island,11,Water transportation [BS48300]
2022,Prince Edward Island,10,Water transportation [BS48300]
2023,Prince Edward Island,9,Water transportation [BS48300]
2013,Prince Edward Island,81,Truck transportation [BS48400]
2014,Prince Edward Island,92,Truck transportation [BS48400]
2015,Prince Edward Island,98,Truck transportation [BS48400]
2016,Prince Edward Island,74,Truck transportation [BS48400]
2017,Prince Edward Island,81,Truck transportation [BS48400]
2018,Prince Edward Island,82,Truck transportation [BS48400]
2019,Prince Edward Island,76,Truck transportation [BS48400]
2020,Prince Edward Island,74,Truck transportation [BS48400]
2021,Prince Edward Island,74,Truck transportation [BS48400]
2022,Prince Edward Island,67,Truck transportation [BS48400]
2023,Prince Edward Island,64,Truck transportation [BS48400]
2013,Prince Edward Island,3,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2014,Prince Edward Island,4,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2015,Prince Edward Island,3,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2016,Prince Edward Island,8,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2017,Prince Edward Island,6,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2018,Prince Edward Island,5,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2019,Prince Edward Island,5,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2020,Prince Edward Island,4,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2021,Prince Edward Island,5,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2022,Prince Edward Island,4,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2023,Prince Edward Island,4,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]"
2013,Prince Edward Island,2,Postal service and couriers and messengers [BS49A00]
2014,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2015,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2016,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2017,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2018,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2019,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2020,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2021,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2022,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2023,Prince Edward Island,1,Postal service and couriers and messengers [BS49A00]
2020,Prince Edward Island,1,Warehousing and storage [BS49300]
2015,Prince Edward Island,0,Radio and television broadcasting [BS51510]
2019,Prince Edward Island,0,Radio and television broadcasting [BS51510]
2020,Prince Edward Island,0,Radio and television broadcasting [BS51510]
2021,Prince Edward Island,0,Radio and television broadcasting [BS51510]
2022,Prince Edward Island,0,Radio and television broadcasting stations [BS51610]
2023,Prince Edward Island,0,Radio and television broadcasting stations [BS51610]
2013,Prince Edward Island,2,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2014,Prince Edward Island,2,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2015,Prince Edward Island,1,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2016,Prince Edward Island,9,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2017,Prince Edward Island,8,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2018,Prince Edward Island,5,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2019,Prince Edward Island,3,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2020,Prince Edward Island,2,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]"
2013,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2014,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2015,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2016,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2017,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2018,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2019,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2020,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2021,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2022,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2023,Prince Edward Island,1,Depository credit intermediation and monetary authorities [BS52B00]
2013,Prince Edward Island,33,Lessors of real estate [BS53110]
2014,Prince Edward Island,24,Lessors of real estate [BS53110]
2015,Prince Edward Island,28,Lessors of real estate [BS53110]
2016,Prince Edward Island,11,Lessors of real estate [BS53110]
2017,Prince Edward Island,15,Lessors of real estate [BS53110]
2018,Prince Edward Island,19,Lessors of real estate [BS53110]
2019,Prince Edward Island,18,Lessors of real estate [BS53110]
2020,Prince Edward Island,22,Lessors of real estate [BS53110]
2021,Prince Edward Island,19,Lessors of real estate [BS53110]
2022,Prince Edward Island,26,Lessors of real estate [BS53110]
2023,Prince Edward Island,27,Lessors of real estate [BS53110]
2013,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2014,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2015,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2016,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2017,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2018,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2019,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2020,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2021,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2022,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2023,Prince Edward Island,0,Owner-occupied dwellings [BS5311A]
2013,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2014,Prince Edward Island,1,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2015,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2016,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2017,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2018,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2019,Prince Edward Island,2,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2020,Prince Edward Island,1,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2021,Prince Edward Island,1,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2022,Prince Edward Island,1,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2023,Prince Edward Island,1,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]
2013,Prince Edward Island,18,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2014,Prince Edward Island,14,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2015,Prince Edward Island,13,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2016,Prince Edward Island,7,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2017,Prince Edward Island,8,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2018,Prince Edward Island,10,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2019,Prince Edward Island,9,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2020,Prince Edward Island,6,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2021,Prince Edward Island,7,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2022,Prince Edward Island,7,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2023,Prince Edward Island,7,"Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]"
2013,Prince Edward Island,1,"Computer systems design and other professional, scientific and technical services [BS541D0]"
2013,Prince Edward Island,3,Administrative and support services [BS56100]
2014,Prince Edward Island,3,Administrative and support services [BS56100]
2015,Prince Edward Island,4,Administrative and support services [BS56100]
2016,Prince Edward Island,3,Administrative and support services [BS56100]
2017,Prince Edward Island,3,Administrative and support services [BS56100]
2018,Prince Edward Island,3,Administrative and support services [BS56100]
2019,Prince Edward Island,3,Administrative and support services [BS56100]
2020,Prince Edward Island,4,Administrative and support services [BS56100]
2021,Prince Edward Island,3,Administrative and support services [BS56100]
2022,Prince Edward Island,3,Administrative and support services [BS56100]
2023,Prince Edward Island,4,Administrative and support services [BS56100]
2013,Prince Edward Island,8,Waste management and remediation services [BS56200]
2014,Prince Edward Island,7,Waste management and remediation services [BS56200]
2015,Prince Edward Island,6,Waste management and remediation services [BS56200]
2016,Prince Edward Island,7,Waste management and remediation services [BS56200]
2017,Prince Edward Island,6,Waste management and remediation services [BS56200]
2018,Prince Edward Island,9,Waste management and remediation services [BS56200]
2019,Prince Edward Island,10,Waste management and remediation services [BS56200]
2020,Prince Edward Island,12,Waste management and remediation services [BS56200]
2021,Prince Edward Island,12,Waste management and remediation services [BS56200]
2022,Prince Edward Island,8,Waste management and remediation services [BS56200]
2023,Prince Edward Island,7,Waste management and remediation services [BS56200]
2013,Prince Edward Island,1,Educational services [BS61000]
2014,Prince Edward Island,1,Educational services [BS61000]
2015,Prince Edward Island,1,Educational services [BS61000]
2017,Prince Edward Island,1,Educational services [BS61000]
2018,Prince Edward Island,1,Educational services [BS61000]
2019,Prince Edward Island,1,Educational services [BS61000]
2020,Prince Edward Island,1,Educational services [BS61000]
2021,Prince Edward Island,1,Educational services [BS61000]
2022,Prince Edward Island,1,Educational services [BS61000]
2023,Prince Edward Island,1,Educational services [BS61000]
2013,Prince Edward Island,8,Health care and social assistance [BS62000]
2014,Prince Edward Island,5,Health care and social assistance [BS62000]
2015,Prince Edward Island,5,Health care and social assistance [BS62000]
2016,Prince Edward Island,4,Health care and social assistance [BS62000]
2017,Prince Edward Island,4,Health care and social assistance [BS62000]
2018,Prince Edward Island,5,Health care and social assistance [BS62000]
2019,Prince Edward Island,5,Health care and social assistance [BS62000]
2020,Prince Edward Island,5,Health care and social assistance [BS62000]
2021,Prince Edward Island,6,Health care and social assistance [BS62000]
2022,Prince Edward Island,6,Health care and social assistance [BS62000]
2023,Prince Edward Island,6,Health care and social assistance [BS62000]
2013,Prince Edward Island,1,"Arts, entertainment and recreation [BS71000]"
2014,Prince Edward Island,1,"Arts, entertainment and recreation [BS71000]"
2013,Prince Edward Island,9,Accommodation and food services [BS72000]
2014,Prince Edward Island,9,Accommodation and food services [BS72000]
2015,Prince Edward Island,11,Accommodation and food services [BS72000]
2016,Prince Edward Island,12,Accommodation and food services [BS72000]
2017,Prince Edward Island,11,Accommodation and food services [BS72000]
2018,Prince Edward Island,14,Accommodation and food services [BS72000]
2019,Prince Edward Island,14,Accommodation and food services [BS72000]
2020,Prince Edward Island,14,Accommodation and food services [BS72000]
2021,Prince Edward Island,17,Accommodation and food services [BS72000]
2022,Prince Edward Island,18,Accommodation and food services [BS72000]
2023,Prince Edward Island,17,Accommodation and food services [BS72000]
2013,Prince Edward Island,3,Repair and maintenance [BS81100]
2014,Prince Edward Island,4,Repair and maintenance [BS81100]
2015,Prince Edward Island,4,Repair and maintenance [BS81100]
2016,Prince Edward Island,5,Repair and maintenance [BS81100]
2017,Prince Edward Island,4,Repair and maintenance [BS81100]
2018,Prince Edward Island,5,Repair and maintenance [BS81100]
2019,Prince Edward Island,5,Repair and maintenance [BS81100]
2020,Prince Edward Island,4,Repair and maintenance [BS81100]
2021,Prince Edward Island,5,Repair and maintenance [BS81100]
2022,Prince Edward Island,4,Repair and maintenance [BS81100]
2023,Prince Edward Island,4,Repair and maintenance [BS81100]
2013,Prince Edward Island,1,Personal services and private households [BS81A00]
2014,Prince Edward Island,1,Personal services and private households [BS81A00]
2015,Prince Edward Island,1,Personal services and private households [BS81A00]
2016,Prince Edward Island,1,Personal services and private households [BS81A00]
2017,Prince Edward Island,1,Personal services and private households [BS81A00]
2018,Prince Edward Island,1,Personal services and private households [BS81A00]
2019,Prince Edward Island,1,Personal services and private households [BS81A00]
2020,Prince Edward Island,1,Personal services and private households [BS81A00]
2021,Prince Edward Island,1,Personal services and private households [BS81A00]
2022,Prince Edward Island,1,Personal services and private households [BS81A00]
2023,Prince Edward Island,1,Personal services and private households [BS81A00]
2013,Prince Edward Island,0,Repair and maintenance [FC11000]
2014,Prince Edward Island,0,Repair and maintenance [FC11000]
2015,Prince Edward Island,0,Repair and maintenance [FC11000]
2016,Prince Edward Island,0,Repair and maintenance [FC11000]
2017,Prince Edward Island,0,Repair and maintenance [FC11000]
2018,Prince Edward Island,0,Repair and maintenance [FC11000]
2019,Prince Edward Island,0,Repair and maintenance [FC11000]
2020,Prince Edward Island,0,Repair and maintenance [FC11000]
2021,Prince Edward Island,0,Repair and maintenance [FC11000]
2013,Prince Edward Island,0,Operating supplies [FC12000]
2014,Prince Edward Island,0,Operating supplies [FC12000]
2015,Prince Edward Island,0,Operating supplies [FC12000]
2016,Prince Edward Island,0,Operating supplies [FC12000]
2017,Prince Edward Island,0,Operating supplies [FC12000]
2018,Prince Edward Island,0,Operating supplies [FC12000]
2019,Prince Edward Island,0,Operating supplies [FC12000]
2020,Prince Edward Island,0,Operating supplies [FC12000]
2021,Prince Edward Island,0,Operating supplies [FC12000]
2013,Prince Edward Island,0,Office supplies [FC13000]
2014,Prince Edward Island,0,Office supplies [FC13000]
2015,Prince Edward Island,0,Office supplies [FC13000]
2016,Prince Edward Island,0,Office supplies [FC13000]
2017,Prince Edward Island,0,Office supplies [FC13000]
2018,Prince Edward Island,0,Office supplies [FC13000]
2019,Prince Edward Island,0,Office supplies [FC13000]
2020,Prince Edward Island,0,Office supplies [FC13000]
2021,Prince Edward Island,0,Office supplies [FC13000]
2013,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2014,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2015,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2016,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2017,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2018,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2019,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2020,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2021,Prince Edward Island,0,"Advertising, promotion, meals, entertainment, and travel [FC20000]"
2013,Prince Edward Island,0,Transportation margins [FC30000]
2014,Prince Edward Island,0,Transportation margins [FC30000]
2015,Prince Edward Island,0,Transportation margins [FC30000]
2016,Prince Edward Island,0,Transportation margins [FC30000]
2017,Prince Edward Island,0,Transportation margins [FC30000]
2018,Prince Edward Island,0,Transportation margins [FC30000]
2019,Prince Edward Island,0,Transportation margins [FC30000]
2020,Prince Edward Island,0,Transportation margins [FC30000]
